LakeID,Hylak_id,short_name,Name,Country,Lat_centre,Lon_centre,Sea_mask,Lake_area,Vol_total,Depth_avg,Dis_avg,Res_time,Elevation,Z_max,TR,Phase,Cover_1995_2020,annual_ave_95_10
516,615,GLWD00000516, North Caribou lake,Canada,52.7181,-90.5569,0,319.54,3099.85,9.7,22.016,1629.6,297,29.10292921074044,NC,Cool,0.202,13.851443741791572
517,638,GLWD00000517, lake Pletipi,Canada,51.7486,-70.0736,0,306.61,3579.67,11.7,104.774,395.4,529,35.02498288,NC,Cool,0.155,11.699896293886177
519,269,GLWD00000519, Yamba lake,Canada,64.9069,-111.5597,0,332.67,5568.63,16.7,14.699,4384.8,403,50.21760303002977,NF,Frigid,0.17,8.353764035485417
522,1121,GLWD00000522, lake Vodlozero,Russian Federation,62.3875,36.8542,0,353.71,4867.01,13.8,10.477,5376.6,128,41.27966413163327,NC,Cool,0.258,13.717058786718288
523,788,GLWD00000523, Utah lake,United States,40.2042,-111.8014,0,362.19,1689.7,4.7,38.282,510.9,1368,13.995692868383998,NT,Temperate,0.479,14.743798507415114
527,1548,GLWD00000527, lake Abhe,Ethiopia;Djibouti,11.1708,41.7819,0,311.84,4916.18,15.8,285.762,199.1,240,47.29521549512572,TH,Hot,0.151,27.39613790622264
528,1526,GLWD00000528, Tungabhadra reservoir,India,15.2403,76.2986,0,352.55,3764,10.7,240.404,181.2,492,32.02949936179265,TH,Hot,0.152,25.537357490284577
529,532,GLWD00000529, Oxford lake,Canada,54.9319,-95.3819,0,338.65,5115.41,15.1,63.909,926.4,186,45.31590137309907,NC,Cool,0.2,12.751723352332956
530,1133,GLWD00000530, Zzzz,Finland,61.8375,26.6792,0,393.09,11389.57,29,19.769,6668.2,76,86.92337632603221,NC,Cool,0.243,13.694035285085734
531,1458,GLWD00000531, Liangzi lake,China,30.2458,114.5181,0,302.36,2252.43,7.4,27.394,951.7,16,22.348491864003176,NH,Hot,0.179,14.954799080006946
533,1136,GLWD00000533, lake Lacha,Russian Federation,61.2458,38.7569,0,300.19,1378.47,4.6,113.432,140.7,104,13.775975215696723,NC,Cool,0.233,14.537396971267125
534,841,GLWD00000534, lake Livingston,United States,30.7375,-95.1458,0,219.58,2522.5,11.5,255.379,114.3,42,34.46352126787503,NH,Hot,0.242,18.548774451804036
539,1463,GLWD00000539, Longgan/Longhu lake,China,29.9375,116.1986,0,302.31,1655.15,5.5,92.923,206.2,9,16.42502728986802,NH,Hot,0.189,14.34141335
543,1428,GLWD00000543, Urru lake,China,31.7181,87.9597,0,346.7,6652.73,19.2,23.414,3288.6,4554,57.56616671473897,NC,Cool,0.428,7.138186402888192
545,568,GLWD00000545, Cormorant lake,Canada,54.1681,-100.7514,0,338.73,3337.73,9.9,6.747,5725.7,254,29.560977769905236,NC,Cool,0.245,13.256838187157236
