"LakeID","LakeTR","annual_ave_95_10","Lon_centre","Lat_centre"
672,"C",12.7660302674548,-106.8625,54.6431
679,"C",14.0782409076856,26.0347,58.3042
681,"C",7.93133761889353,88.7708,31.5792
684,"C",13.0959702016828,-98.3958,54.1486
710,"F",10.9036909208061,17.7264,66.0264
713,"C",14.1006734451955,-103.4653,53.6014
725,"F",7.1927705992265,88.9986,34.5542
728,"C",14.63444121397,-101.3542,52.9625
733,"C",13.4306760469202,-98.6125,54.2625
736,"F",6.7742688326759,92.9208,35.6903
744,"C",8.78817398244348,87.5486,31.9042
754,"C",14.2708005367559,-102.2986,54.0125
758,"F",9.25424029898593,17.7153,66.1764
767,"W",15.1267034833164,100.1819,25.8042
770,"H",22.6317295900369,-98.7514,23.9625
771,"C",13.5846720625668,-108.6569,56.5347
779,"C",13.4289239902045,-104.6764,54.9181
792,"F",7.99221299945367,160.0014,69.3125
797,"C",13.0013942293641,-93.8097,54.1431
800,"W",14.332554084156,143.4542,-38.0986
804,"C",13.66418395856,-92.1375,53.8292
805,"C",13.6239239860821,-112.2042,54.8986
810,"C",12.2785388674996,-107.2819,55.1014
819,"F",7.83327044674216,98.6431,35.2653
824,"W",16.3707784610718,-80.0625,33.3181
825,"C",12.1854517911351,31.9069,66.2597
827,"C",13.3522816990206,116.6514,43.2847
829,"H",22.8073206850933,38.7597,7.5986
840,"T",15.6323700277406,28.6653,45.2986
849,"C",9.56648327900212,-123.1625,63.9375
881,"W",17.0865772174597,30.1653,37.7264
883,"W",13.2649562403227,-118.9681,38.0181
893,"T",13.8867270664866,6.9375,46.9569
894,"T",16.2158364485521,35.3514,46.5042
904,"C",14.4023774331068,-76.3931,49.5319
905,"T",14.4895112846832,-75.8875,43.1931
907,"T",16.0795422698682,51.6792,50.5569
908,"C",13.2452690491082,-109.5875,56.5208
910,"C",13.5685010475464,-108.2653,55.1764
913,"C",5.52958684094833,86.4069,30.3181
920,"C",11.1213726504418,97.3514,48.8486
924,"F",6.8246706897181,92.1347,35.2181
929,"H",19.7244028957811,-81.5958,29.2986
931,"W",15.5608687377386,-94.8597,35.3542
936,"C",13.5512844699954,30.9708,61.9792
945,"W",18.3264827460467,61.3153,37.1986
949,"C",13.5633711037,-101.8653,54.2319
976,"C",14.3799239809947,-118.4486,63.0931
977,"C",13.3341274133609,-100.3736,54.6125
982,"C",10.6651289404626,98.9458,49.2736
1003,"C",13.8895845594378,-99.8375,54.0903
1009,"C",13.4921644823474,-85.1931,52.2986
1011,"C",15.7470533132006,70.3875,57.5264
1019,"C",11.0408590976327,-125.3653,65.5042
1026,"T",13.4332567153205,-112.6958,42.9736
1028,"C",12.4259879984057,13.6986,56.8653
1050,"C",14.7776425845764,79.7625,52.7153
1053,"C",13.032799516398,-101.6875,54.5236
1057,"W",10.5796880017646,-9.2903,53.4653
1061,"C",14.111601877225,26.5597,63.1403
1062,"C",13.8860931013194,-99.8486,54.7792
1066,"C",7.5283557536635,90.5708,31.2042
1071,"T",13.7901370224584,-80.2181,50.3875
1075,"T",13.5728143131032,-105.2764,51.1931
1083,"T",18.7399097313138,46.6708,49.1486
1107,"H",15.1914567319587,116.3097,28.5986
1110,"W",15.9939682928551,33.5569,39.1931
1116,"T",12.963517159984,-65.0958,44.1764
1128,"W",15.9817051383337,-118.7153,38.7264
1130,"C",10.1845867316316,96.9153,37.1236
1145,"W",17.9795120664097,27.9958,40.1958
1154,"T",14.1636960997439,-120.2181,42.6875
1169,"T",15.2882618070002,-92.7847,49.7458
1170,"W",7.97691305837403,146.7403,-41.9319
1174,"T",15.9384371179415,87.4486,46.9236
1184,"C",13.0889179512967,106.4403,51.2292
1188,"H",18.8852270095498,-122.8486,39.0736
1192,"C",8.85452552051306,90.0097,32.4542
1193,"T",14.3230325744223,-111.5264,46.4125
1195,"T",5.54842922325161,-68.9958,-54.0069
1196,"H",23.1557133381326,35.5847,32.8292
1199,"T",14.3530832783776,-99.1903,48.0736
1201,"C",13.6996836060399,24.2375,61.1542
1203,"T",16.9886379216436,45.3125,39.1875
1204,"W",12.0914418273148,140.3958,36.0375
1219,"H",24.2111276331624,75.2569,19.5014
1221,"C",14.891272668897,-100.3264,52.4819
1236,"W",18.1907339154531,28.6292,40.1542
1237,"C",14.3385266413086,-93.5681,53.1292
1240,"C",13.1707426903423,22.3097,60.9931
1246,"C",13.2363491778116,23.7014,63.1236
1249,"C",13.7443069732709,-96.9542,54.6958
1259,"T",5.65528990332589,-71.1847,-48.4347
1270,"H",14.5918176675735,116.4681,30.1542
1283,"F",7.04280829913502,86.2236,30.6625
1286,"C",15.2404076426123,75.2569,49.8319
1294,"C",14.2853353482197,93.4486,48.8958
1319,"C",13.3308852562173,34.8819,61.1569
1321,"H",20.004285571944,-7.5569,32.4431
1336,"C",6.49701340899056,91.2208,31.1875
1344,"W",14.9067114614057,-95.5597,36.6347
1358,"H",15.1483257553297,114.2042,30.0069
1359,"T",12.6938103975174,-80.7458,46.7486
1360,"T",17.4662910430066,61.8625,46.2125
1368,"H",20.6061059855241,-81.2819,27.9014
1370,"C",13.0187412690219,-113.3042,55.2458
1375,"C",13.6383103348863,-105.3319,53.8514
1424,"C",13.7172568964969,-101.4875,54.4597
1425,"C",13.5363251006782,-108.7569,56.7736
1432,"C",7.76444792889597,90.9514,31.4736
1434,"H",23.6285258355618,-109.8625,27.8653
1467,"H",17.8516192508246,-90.0264,32.4458
1489,"C",13.1306143360468,-110.5514,55.4875
1493,"H",19.979154078907,-81.6347,28.6347
1498,"T",11.5368438806538,-70.5792,43.8708
1505,"T",14.0339378626197,21.6958,53.7569
1516,"C",11.689024817148,113.0181,55.1847
1524,"C",14.4247428292422,-110.3986,56.4819
1526,"T",9.93042075203876,-7.8097,54.4875
1529,"W",16.5473842011148,12.0986,43.1514
1547,"C",13.2530087535155,-106.1681,54.0736
1567,"H",20.0716245937312,-98.3042,28.4819
1573,"F",11.159235452675,155.1625,68.3931
1576,"F",13.1426839802825,-121.5542,64.6292
1582,"T",15.5184942383077,-80.9431,48.4764
1594,"C",14.4945967824107,-102.7764,54.3625
1596,"W",16.6364423770285,11.9292,42.6042
1613,"F",10.7925995565527,154.9931,68.1792
1616,"H",23.107283548181,35.0653,-24.5264
1618,"T",11.99199233203,116.9403,40.5375
1623,"C",13.7612230320542,-99.4125,53.8097
1632,"C",13.5048526199507,28.1764,59.2986
1640,"C",14.1034481128482,-108.3264,58.8514
1649,"T",13.2799260437767,12.7292,53.4069
1652,"C",6.42342310611011,85.7264,29.8208
1658,"W",12.772337990141,116.1986,35.9625
1659,"H",21.6956288345911,36.3514,-0.7681
1676,"C",14.5835331514185,-105.5153,55.1153
1679,"C",11.9122686084366,17.6097,59.7458
1703,"C",13.5270902894493,-92.5347,54.6458
1706,"C",14.7054973148982,-101.4792,54.1569
