"lake_id","test_rmse","Model"
2304,1.2454314,"Transfer-PIDL-Frigid"
2305,1.6164691,"Transfer-PIDL-Frigid"
2317,0.98944664,"Transfer-PIDL-Frigid"
2323,1.2899753,"Transfer-PIDL-Frigid"
2326,1.2682513,"Transfer-PIDL-Frigid"
2330,1.35429,"Transfer-PIDL-Frigid"
2336,1.1021241,"Transfer-PIDL-Frigid"
2345,0.9733198,"Transfer-PIDL-Frigid"
2351,1.8095406,"Transfer-PIDL-Frigid"
2358,1.1100322,"Transfer-PIDL-Frigid"
2364,1.0754038,"Transfer-PIDL-Frigid"
2367,1.0194358,"Transfer-PIDL-Frigid"
2368,1.1466974,"Transfer-PIDL-Frigid"
2395,1.0763183,"Transfer-PIDL-Frigid"
2415,1.0761606,"Transfer-PIDL-Frigid"
2418,1.7330306,"Transfer-PIDL-Frigid"
2420,1.146589,"Transfer-PIDL-Frigid"
2425,0.9246273,"Transfer-PIDL-Frigid"
2436,1.1629316,"Transfer-PIDL-Frigid"
2447,1.243791,"Transfer-PIDL-Frigid"
2473,1.2665852,"Transfer-PIDL-Frigid"
2477,1.1576753,"Transfer-PIDL-Frigid"
2497,1.3954155,"Transfer-PIDL-Frigid"
2511,1.2789195,"Transfer-PIDL-Frigid"
2516,1.0181186,"Transfer-PIDL-Frigid"
2517,1.0212865,"Transfer-PIDL-Frigid"
2518,0.87582517,"Transfer-PIDL-Frigid"
2559,1.117683,"Transfer-PIDL-Frigid"
2569,1.0499198,"Transfer-PIDL-Frigid"
2594,1.1339881,"Transfer-PIDL-Frigid"
2595,0.9933741,"Transfer-PIDL-Frigid"
2613,1.2765276,"Transfer-PIDL-Frigid"
2616,1.14212,"Transfer-PIDL-Frigid"
2627,1.1351758,"Transfer-PIDL-Frigid"
2655,1.3962387,"Transfer-PIDL-Frigid"
2663,1.5023379,"Transfer-PIDL-Frigid"
2682,1.3146794,"Transfer-PIDL-Frigid"
2696,1.1971741,"Transfer-PIDL-Frigid"
2709,1.239041,"Transfer-PIDL-Frigid"
2731,1.2297473,"Transfer-PIDL-Frigid"
2750,1.7661613,"Transfer-PIDL-Frigid"
2798,1.0294572,"Transfer-PIDL-Frigid"
2799,1.0373508,"Transfer-PIDL-Frigid"
2803,1.3312178,"Transfer-PIDL-Frigid"
2812,1.0333273,"Transfer-PIDL-Frigid"
2819,1.194872,"Transfer-PIDL-Frigid"
2881,1.4857353,"Transfer-PIDL-Frigid"
2898,1.1132749,"Transfer-PIDL-Frigid"
2926,1.2979425,"Transfer-PIDL-Frigid"
2927,0.9633341,"Transfer-PIDL-Frigid"
2940,1.6691363,"Transfer-PIDL-Frigid"
2944,1.2251682,"Transfer-PIDL-Frigid"
2946,0.98932236,"Transfer-PIDL-Frigid"
2955,1.0009362,"Transfer-PIDL-Frigid"
2978,1.0404427,"Transfer-PIDL-Frigid"
2985,1.081801,"Transfer-PIDL-Frigid"
3097,1.006529,"Transfer-PIDL-Frigid"
3109,0.9670504,"Transfer-PIDL-Frigid"
3133,1.6565199,"Transfer-PIDL-Frigid"
3135,1.2109101,"Transfer-PIDL-Frigid"
3188,1.1195494,"Transfer-PIDL-Frigid"
